type,symbol,date,shares,limit_price,fill_price,fees
buy,sz.300136,2023-11-15,3245,26.17,25.83,20.95
sell,sz.300136,2023-11-16,3245,,25.45,103.23
buy,sh.600021,2023-11-20,9896,8.57,8.55,21.15
buy,sh.688213,2023-11-20,1629,52.01,51.89,21.13
buy,sz.300136,2023-11-20,3344,25.34,24.59,20.56
sell,sh.600021,2023-11-21,9896,,8.51,105.27
sell,sh.688213,2023-11-21,1629,,52.14,106.17
sell,sz.300136,2023-11-21,3344,,24.3,101.57
buy,sh.600126,2023-11-21,14970,5.67,5.61,21.0
buy,sz.002353,2023-11-21,2983,28.43,28.29,21.1
buy,sh.603728,2023-11-22,1102,76.59,73.15,20.15
sell,sh.600126,2023-11-23,14970,,5.71,106.85
sell,sh.603728,2023-11-23,1102,,72.68,100.12
sell,sz.002353,2023-11-24,2983,,27.67,103.17
buy,sz.300623,2023-11-30,4753,17.78,17.21,20.45
sell,sz.300623,2023-12-05,4753,,16.73,99.4
buy,sh.600720,2023-12-05,8570,9.85,9.75,20.89
buy,sh.601061,2023-12-05,11484,7.35,7.24,20.79
sell,sh.600720,2023-12-06,8570,,9.68,103.7
sell,sh.601061,2023-12-06,11484,,7.21,103.5
buy,sh.600884,2023-12-06,6177,13.61,13.52,20.88
sell,sh.600884,2023-12-07,6177,,13.2,101.92
buy,sh.601156,2023-12-08,6013,13.96,13.8,20.74
sell,sh.601156,2023-12-11,6013,,14.04,105.53
buy,sh.688525,2023-12-13,1020,82.41,79.82,20.35
buy,sh.601139,2023-12-15,12084,6.94,6.89,20.81
sell,sh.601139,2023-12-19,12084,,6.76,102.11
sell,sh.688525,2023-12-19,1020,,73.85,94.16
buy,sh.601019,2023-12-19,8689,9.58,9.56,20.77
sell,sh.601019,2023-12-20,8689,,9.53,103.51
buy,sh.688525,2023-12-20,1122,74.24,72.36,20.3
buy,sz.300570,2023-12-22,2190,37.81,36.75,20.12
sell,sh.688525,2023-12-26,1122,,60.79,85.26
sell,sz.300570,2023-12-26,2190,,34.79,95.24
buy,sz.002008,2024-01-02,4028,20.23,20.13,20.27
sell,sz.002008,2024-01-03,4028,,19.81,99.74
buy,sz.000951,2024-01-04,6322,12.87,12.81,20.25
sell,sz.000951,2024-01-05,6322,,13.08,103.36
buy,sh.600126,2024-01-05,15466,5.26,5.22,20.18
buy,sh.600157,2024-01-05,58909,1.38,1.38,20.32
buy,sh.600098,2024-01-08,16345,4.98,4.96,20.27
buy,sh.600177,2024-01-08,14432,5.64,5.57,20.1
sell,sh.600177,2024-01-09,14432,,5.54,99.94
sell,sh.600098,2024-01-10,16345,,4.97,101.54
sell,sh.600126,2024-01-10,15466,,5.01,96.86
sell,sh.600157,2024-01-10,58909,,1.36,100.15
buy,sh.600563,2024-01-25,846,95.73,92.81,19.63
buy,sh.601799,2024-01-25,625,129.54,128.17,20.03
buy,sz.002945,2024-01-25,5236,15.47,15.33,20.07
buy,sz.002607,2024-01-26,19089,4.24,4.23,20.19
buy,sh.603077,2024-01-29,34254,2.35,2.33,19.95
buy,sh.603338,2024-01-29,1553,51.75,50.25,19.51
buy,sh.688469,2024-01-29,14996,5.36,5.33,19.98
sell,sh.600563,2024-01-30,846,,84.38,89.23
sell,sh.603077,2024-01-30,34254,,2.3,98.48
sell,sz.002945,2024-01-30,5236,,12.82,83.91
sell,sh.601799,2024-01-31,625,,126.64,98.94
sell,sh.603338,2024-01-31,1553,,50.73,98.48
sell,sh.688469,2024-01-31,14996,,5.03,94.29
sell,sz.002607,2024-01-31,19089,,3.64,86.85
buy,sh.601233,2024-02-19,5957,12.95,12.83,19.11
buy,sz.000050,2024-02-19,8407,9.18,9.06,19.04
buy,sz.000997,2024-02-19,4311,17.9,17.86,19.25
buy,sh.600563,2024-02-20,769,99.84,98.15,18.87
buy,sh.601799,2024-02-20,584,131.41,128.52,18.76
buy,sz.002436,2024-02-20,6700,11.46,11.17,18.71
buy,sh.688525,2024-02-21,2004,38.33,38.14,19.11
sell,sh.600563,2024-02-22,769,,98.76,94.93
sell,sh.601233,2024-02-22,5957,,12.95,96.43
sell,sh.601799,2024-02-22,584,,130.91,95.56
sell,sz.000050,2024-02-22,8407,,8.91,93.63
sell,sz.000997,2024-02-22,4311,,17.72,95.49
sell,sz.002436,2024-02-22,6700,,11.68,97.82
